iter	Passed	Remaining
0	33	26837
1	66	26599
2	95	25355
3	122	24328
4	154	24623
5	192	25412
6	222	25171
7	250	24835
8	279	24543
9	283	22392
10	313	22468
11	345	22717
12	350	21219
13	368	20670
14	398	20876
15	403	19761
16	424	19553
17	447	19451
18	475	19545
19	508	19813
20	539	19998
21	567	20085
22	578	19542
23	606	19596
24	635	19708
25	667	19869
26	693	19865
27	718	19798
28	745	19818
29	756	19419
30	786	19515
31	815	19565
32	830	19303
33	857	19324
34	886	19368
35	903	19165
36	924	19074
37	954	19136
38	985	19235
39	1018	19358
40	1035	19178
41	1064	19214
42	1093	19243
43	1121	19271
44	1149	19293
45	1179	19328
46	1210	19397
47	1248	19557
48	1282	19652
49	1309	19644
50	1340	19681
51	1366	19663
52	1394	19654
53	1428	19731
54	1458	19759
55	1495	19870
56	1532	19970
57	1578	20199
58	1614	20279
59	1642	20257
60	1670	20240
61	1703	20277
62	1730	20243
63	1760	20247
64	1789	20240
65	1821	20255
66	1852	20271
67	1883	20276
68	1917	20316
69	1950	20340
70	1985	20383
71	2017	20400
72	2044	20361
73	2074	20356
74	2105	20353
75	2136	20349
76	2164	20328
77	2195	20323
78	2225	20309
79	2255	20298
80	2286	20296
81	2319	20310
82	2352	20320
83	2382	20305
84	2412	20295
85	2445	20303
86	2473	20269
87	2501	20237
88	2532	20227
89	2564	20233
90	2597	20237
91	2629	20237
92	2659	20220
93	2691	20214
94	2722	20207
95	2755	20209
96	2791	20228
97	2822	20218
98	2851	20191
99	2886	20208
100	2912	20156
101	2984	20423
102	3013	20390
103	3047	20395
104	3080	20386
105	3106	20338
106	3135	20309
107	3168	20301
108	3199	20282
109	3224	20225
110	3259	20231
111	3288	20197
112	3318	20177
113	3350	20163
114	3374	20101
115	3405	20080
116	3439	20077
117	3474	20083
118	3505	20058
119	3541	20066
120	3571	20043
121	3618	20110
122	3656	20126
123	3685	20091
124	3717	20075
125	3755	20088
126	3794	20109
127	3828	20097
128	3858	20071
129	3888	20038
130	3917	20006
131	3947	19976
132	3976	19941
133	4014	19950
134	4047	19939
135	4082	19931
136	4115	19917
137	4144	19882
138	4180	19879
139	4212	19858
140	4244	19836
141	4273	19800
142	4304	19776
143	4337	19759
144	4368	19734
145	4402	19721
146	4437	19714
147	4472	19702
148	4498	19654
149	4531	19637
150	4566	19626
151	4596	19597
152	4624	19555
153	4652	19516
154	4681	19483
155	4710	19447
156	4739	19412
157	4771	19386
158	4799	19350
159	4828	19312
160	4858	19281
161	4885	19240
162	4919	19225
163	4951	19204
164	4985	19186
165	5011	19138
166	5041	19111
167	5075	19094
168	5106	19066
169	5137	19037
170	5167	19008
171	5199	18984
172	5227	18944
173	5262	18931
174	5293	18903
175	5324	18876
176	5353	18841
177	5382	18808
178	5411	18774
179	5439	18736
180	5471	18710
181	5503	18687
182	5535	18662
183	5568	18641
184	5594	18597
185	5626	18572
186	5652	18528
187	5681	18496
188	5714	18474
189	5746	18450
190	5776	18417
191	5810	18398
192	5843	18379
193	5877	18360
194	5910	18338
195	5942	18313
196	5972	18281
197	6003	18252
198	6036	18230
199	6064	18192
200	6097	18171
201	6132	18153
202	6167	18138
203	6200	18113
204	6235	18098
205	6269	18078
206	6304	18061
207	6333	18026
208	6366	18001
209	6396	17972
210	6431	17952
211	6464	17930
212	6500	17915
213	6534	17893
214	6574	17888
215	6607	17864
216	6640	17839
217	6672	17814
218	6705	17790
219	6739	17768
220	6768	17731
221	6803	17714
222	6839	17696
223	6869	17663
224	6902	17640
225	6935	17615
226	6963	17578
227	6995	17549
228	7030	17528
229	7060	17497
230	7092	17471
231	7122	17436
232	7152	17406
233	7185	17379
234	7215	17348
235	7247	17321
236	7277	17287
237	7309	17260
238	7340	17229
239	7370	17197
240	7402	17169
241	7432	17138
242	7464	17110
243	7496	17082
244	7524	17045
245	7557	17019
246	7584	16981
247	7613	16946
248	7642	16910
249	7671	16878
250	7703	16849
251	7734	16818
252	7762	16781
253	7786	16738
254	7816	16706
255	7850	16681
256	7882	16654
257	7916	16630
258	7946	16597
259	7980	16574
260	8012	16546
261	8044	16517
262	8074	16486
263	8108	16463
264	8148	16451
265	8184	16429
266	8218	16405
267	8251	16378
268	8283	16351
269	8317	16327
270	8355	16309
271	8391	16290
272	8421	16256
273	8453	16227
274	8492	16212
275	8525	16185
276	8558	16159
277	8597	16143
278	8630	16116
279	8665	16092
280	8693	16056
281	8721	16020
282	8752	15989
283	8782	15956
284	8817	15932
285	8851	15908
286	8882	15876
287	8914	15847
288	8948	15822
289	8982	15796
290	9017	15773
291	9050	15744
292	9083	15717
293	9117	15692
294	9146	15656
295	9179	15630
296	9209	15597
297	9237	15561
298	9270	15532
299	9302	15504
300	9335	15475
301	9367	15446
302	9397	15414
303	9428	15383
304	9461	15355
305	9493	15326
306	9525	15297
307	9559	15269
308	9590	15239
309	9619	15204
310	9650	15174
311	9683	15146
312	9714	15114
313	9746	15084
314	9778	15055
315	9808	15023
316	9843	14997
317	9875	14968
318	9902	14931
319	9936	14905
320	9968	14875
321	10007	14856
322	10040	14827
323	10074	14800
324	10105	14769
325	10145	14750
326	10185	14733
327	10210	14692
328	10242	14662
329	10279	14639
